TABLE NO.     2: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       SIGMA(1,1)   SIGMA(2,1)   SIGMA(2,2)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   OMEGA(5,1)   OMEGA(5,2)   OMEGA(5,3)   OMEGA(5,4)   OMEGA(5,5)   OMEGA(6,1)   OMEGA(6,2)   OMEGA(6,3)   OMEGA(6,4)   OMEGA(6,5)   OMEGA(6,6)   OMEGA(7,1)   OMEGA(7,2)   OMEGA(7,3)   OMEGA(7,4)   OMEGA(7,5)   OMEGA(7,6)   OMEGA(7,7)   OMEGA(8,1)   OMEGA(8,2)   OMEGA(8,3)   OMEGA(8,4)   OMEGA(8,5)   OMEGA(8,6)   OMEGA(8,7)   OMEGA(8,8)   MCMCOBJ
        -4000  3.90834E+00 -2.18787E+00  5.57985E-01 -1.86377E-01  2.26146E+00  2.10476E-01  3.70795E+00 -7.08909E-01  9.27944E-03  0.00000E+00  2.24692E-02  2.48200E-01 -3.44210E-02  1.54423E-01  4.73137E-02 -1.40935E-02  8.60729E-02  3.18825E-02  4.69246E-02 -2.10376E-02  2.23738E-01  2.65874E-02  2.72857E-02 -2.69114E-03 -3.32476E-02  1.69442E-01 -2.87869E-02  1.11840E-02  2.67351E-02  1.88464E-02 -8.06053E-02  1.88072E-01  2.89009E-02 -3.36474E-02  3.17310E-02 -7.20248E-02  2.37402E-02  3.40122E-03  2.11682E-01  9.77974E-02  8.18673E-02  3.48265E-02  4.43617E-02  1.08193E-03 -5.09254E-02  5.50916E-02  1.98681E-01   -6810.70450199400
        -3999  3.92320E+00 -2.27881E+00  6.35189E-01 -2.60732E-01  2.37836E+00  1.76002E-01  3.81371E+00 -7.39552E-01  6.84707E-03  0.00000E+00  2.31416E-02  2.81339E-01 -4.72093E-02  1.81670E-01  3.41659E-02 -3.70216E-02  1.21398E-01  3.20009E-02  4.80346E-02 -4.73080E-02  2.63955E-01  4.56266E-02  1.95255E-02 -3.49905E-02 -3.17603E-02  1.84257E-01 -4.35014E-02  1.06085E-02  2.87150E-02  2.36475E-02 -5.35763E-02  1.46372E-01  4.53086E-02 -1.36012E-02  4.51890E-02 -4.11428E-02  7.06831E-03  1.16891E-03  2.09399E-01  9.91765E-02  8.81769E-02  4.67812E-02  2.26006E-02  7.10215E-03 -5.60832E-02  8.20223E-02  2.59189E-01   -6820.13694246107
        -3998  3.83923E+00 -2.26502E+00  5.86818E-01 -1.86909E-01  2.27508E+00  1.38636E-01  3.72683E+00 -7.11161E-01  7.70051E-03  0.00000E+00  2.06798E-02  2.77021E-01 -1.32178E-01  2.08350E-01  7.16721E-02 -6.02410E-02  1.17298E-01 -6.02265E-03  3.79600E-02 -3.31022E-02  2.37060E-01  6.79688E-02  5.85389E-03  8.30961E-04 -1.12014E-02  2.28114E-01 -1.21415E-02 -1.85340E-02  3.19996E-02  2.35932E-02 -7.28394E-02  1.37962E-01  4.38628E-02 -5.79848E-02  4.56687E-02 -9.14130E-02  2.22010E-02  3.59023E-03  2.33819E-01  8.24015E-03  7.40185E-02  2.18910E-02 -1.19787E-02  7.19020E-03 -4.96916E-02  6.81411E-02  1.77751E-01   -6786.05954051682
        -3997  3.87039E+00 -2.20630E+00  5.32365E-01 -1.03247E-01  2.33871E+00  9.21341E-02  3.74449E+00 -6.96120E-01  8.44402E-03  0.00000E+00  2.06044E-02  2.87540E-01  6.04208E-03  1.91327E-01  8.11702E-02  3.17685E-03  1.03891E-01  3.97333E-02  6.30821E-02 -1.40228E-02  2.71813E-01  6.58590E-02  3.11772E-02  2.08436E-02 -4.29677E-02  1.60663E-01 -5.88101E-02 -2.74557E-02 -1.61022E-02 -9.71541E-03 -7.60587E-02  2.07182E-01  9.64633E-02 -4.01073E-02  5.35080E-02 -6.56259E-02  3.48875E-02 -1.90728E-02  2.94902E-01  1.45561E-01  1.45078E-01  5.45316E-02  6.72764E-02  4.82079E-02 -1.09618E-01  8.87618E-02  2.92819E-01   -6770.64027427239
        -3996  3.80440E+00 -2.20034E+00  5.48248E-01 -1.66639E-01  2.22149E+00  2.76164E-01  3.61790E+00 -7.95126E-01  8.28714E-03  0.00000E+00  1.98685E-02  2.20340E-01  9.86906E-03  1.68329E-01  5.17377E-02  1.56326E-02  7.73975E-02  9.79844E-03  3.72561E-02 -3.60512E-02  2.71549E-01  3.00805E-02  2.90563E-02  9.23973E-03 -1.33641E-02  1.23155E-01  2.25345E-02 -4.17263E-03  2.61697E-02 -2.51312E-02 -1.83287E-02  1.72812E-01  3.61293E-02 -1.82486E-02  3.12935E-02 -7.93718E-02  7.00286E-03  3.31507E-02  2.04005E-01  9.67138E-02  9.39026E-02  4.46372E-02 -6.17590E-04 -1.11397E-02 -4.04715E-02  5.06074E-02  2.02278E-01   -6764.45438485107
        -3995  4.04122E+00 -2.28959E+00  5.61803E-01 -3.57485E-01  2.20980E+00  2.82250E-01  3.74923E+00 -7.32713E-01  7.09168E-03  0.00000E+00  2.09767E-02  2.23104E-01 -8.79975E-02  2.40148E-01  4.60896E-02 -3.27374E-02  7.74084E-02 -1.40924E-02  6.64378E-02 -1.32423E-02  2.78562E-01  4.81034E-02  2.16332E-02  5.52902E-04 -1.45475E-02  1.80668E-01 -3.56552E-02 -1.71857E-02  3.73441E-03  1.83877E-02 -1.11114E-01  2.48905E-01  6.13031E-02 -6.34210E-03  2.53137E-02 -5.99084E-02  3.05079E-02 -8.40426E-03  2.08913E-01  6.60041E-02  1.06601E-01  3.67764E-02  2.00743E-02  3.57536E-02 -1.04876E-01  9.15367E-02  2.50878E-01   -6742.04415584634
        -3994  3.88556E+00 -2.18578E+00  5.92606E-01 -2.01102E-01  2.20592E+00  2.70684E-01  3.59073E+00 -7.29621E-01  7.60910E-03  0.00000E+00  1.95286E-02  2.48943E-01 -7.47404E-02  2.46196E-01  7.13828E-02 -1.45598E-02  1.04367E-01 -4.84853E-02  9.64896E-02 -3.53578E-02  2.30007E-01  3.91607E-02  1.98178E-02 -1.51475E-02 -3.76384E-02  2.39703E-01 -3.43310E-02 -8.52007E-04  9.86588E-03  3.90004E-02 -4.10913E-02  1.86417E-01  3.79734E-02 -2.38375E-02  3.84625E-02 -9.10407E-02 -1.77078E-02 -2.99590E-03  2.56466E-01  8.32003E-02  9.14703E-02  5.58656E-02 -4.56692E-03 -3.17031E-03 -5.52112E-02  1.13503E-01  2.24219E-01   -6742.36866314223
        -3993  3.96613E+00 -2.19711E+00  5.89484E-01 -9.50333E-02  2.25451E+00  2.96096E-01  3.68208E+00 -6.64860E-01  8.14422E-03  0.00000E+00  2.02190E-02  2.94254E-01 -3.41670E-02  2.03706E-01  5.62160E-02 -2.88382E-02  9.90774E-02  5.02011E-02  5.62711E-02  6.39691E-04  2.35532E-01  7.59559E-02  3.98465E-02 -1.46992E-02  3.84164E-02  2.27902E-01 -5.38700E-02 -1.02754E-02  5.51053E-02  4.20140E-02 -1.22156E-01  2.91294E-01  6.11358E-02 -4.92725E-02  1.48475E-02 -7.14287E-02  2.64855E-02 -4.02092E-02  2.46933E-01  1.28899E-01  1.07743E-01 -1.37823E-02  1.23800E-02  9.32369E-02 -1.69429E-01  9.74566E-02  3.03043E-01   -6703.31657131780
        -3992  3.95358E+00 -2.27194E+00  5.38517E-01 -1.69373E-01  2.28623E+00  1.02548E-01  3.85170E+00 -6.82609E-01  7.91461E-03  0.00000E+00  2.05387E-02  2.13294E-01 -3.75861E-02  2.12588E-01  3.73170E-02 -3.59828E-02  1.02495E-01  5.36324E-03  9.91928E-02 -7.60780E-02  4.14777E-01  4.74578E-03  5.51072E-02 -1.63805E-02  5.37442E-03  1.63561E-01  2.49569E-02 -5.37668E-02  5.18518E-02 -6.39532E-03 -8.07699E-02  2.36774E-01  5.84301E-02 -4.81689E-02  5.10830E-02 -1.43997E-01 -1.39617E-02  4.97374E-02  1.96895E-01  8.69881E-02  1.13658E-01  2.58016E-03  4.23480E-02  2.07184E-02 -4.97579E-02  4.11254E-02  2.31395E-01   -6673.25955960985
        -3991  3.87245E+00 -2.26331E+00  5.23290E-01 -2.03709E-01  2.26825E+00  2.16864E-01  3.68545E+00 -7.63547E-01  7.33290E-03  0.00000E+00  2.31958E-02  3.42846E-01 -7.00631E-02  1.97271E-01  5.07883E-02 -6.46590E-02  1.09797E-01  9.31010E-02  7.52293E-02 -4.38705E-02  2.95919E-01  1.81557E-03 -4.22683E-02  2.84967E-02 -5.23325E-02  1.45022E-01  5.72947E-03  2.46065E-02  8.95863E-03  3.42502E-02 -8.81563E-02  1.74448E-01  1.16287E-02 -5.25570E-02  3.72518E-02 -6.97419E-02  3.60105E-02 -5.67082E-02  2.63202E-01  1.37886E-01  7.26177E-02  1.29598E-02  1.14222E-01 -3.20324E-02 -3.63849E-02  5.30849E-02  2.62804E-01   -6698.28725173341
