C	ID	TIME	DOSE	MDV	DV	MDL	TSTRAT	TMIN	TMAX	DSTRAT	DMIN	DMAX	STRAT	STRATF
.	11	0	0.01	1	0	1	0	0	1000	1	0.01	500	1	0.25
.	11	14	0	0	1	1	1	7	644	0	0	0	1	0
.	11	336	0	0	1	1	2	7	644	0	0	0	1	0
.	11	672	0	0	1	1	0	0	1000	0	0	0	1	0
.	12	0	100	1	0	1	0	0	1000	2	0.01	500	2	0.25
.	12	14	0	0	1	1	3	7	644	0	0	0	2	0
.	12	336	0	0	1	1	4	7	644	0	0	0	2	0
.	12	672	0	0	1	1	0	0	1000	0	0	0	2	0
.	13	0	250	1	0	1	0	0	1000	3	0.01	500	3	0.25
.	13	14	0	0	1	1	5	7	644	0	0	0	3	0
.	13	336	0	0	1	1	6	7	644	0	0	0	3	0
.	13	672	0	0	1	1	0	0	1000	0	0	0	3	0
.	14	0	350	1	0	1	0	0	1000	4	0.01	500	4	0.25
.	14	14	0	0	1	1	7	7	644	0	0	0	4	0
.	14	336	0	0	1	1	8	7	644	0	0	0	4	0
.	14	672	0	0	1	1	0	0	1000	0	0	0	4	0
.	21	0	0.01	1	0	2	0	0	1000	1	0.01	500	1	0.25
.	21	14	0	0	1	2	1	7	644	0	0	0	1	0
.	21	336	0	0	1	2	2	7	644	0	0	0	1	0
.	21	672	0	0	1	2	0	0	1000	0	0	0	1	0
.	22	0	100	1	0	2	0	0	1000	2	0.01	500	2	0.25
.	22	14	0	0	1	2	3	7	644	0	0	0	2	0
.	22	336	0	0	1	2	4	7	644	0	0	0	2	0
.	22	672	0	0	1	2	0	0	1000	0	0	0	2	0
.	23	0	250	1	0	2	0	0	1000	3	0.01	500	3	0.25
.	23	14	0	0	1	2	5	7	644	0	0	0	3	0
.	23	336	0	0	1	2	6	7	644	0	0	0	3	0
.	23	672	0	0	1	2	0	0	1000	0	0	0	3	0
.	24	0	350	1	0	2	0	0	1000	4	0.01	500	4	0.25
.	24	14	0	0	1	2	7	7	644	0	0	0	4	0
.	24	336	0	0	1	2	8	7	644	0	0	0	4	0
.	24	672	0	0	1	2	0	0	1000	0	0	0	4	0
.	31	0	0.01	1	0	3	0	0	1000	1	0.01	500	1	0.25
.	31	14	0	0	1	3	1	7	644	0	0	0	1	0
.	31	336	0	0	1	3	2	7	644	0	0	0	1	0
.	31	672	0	0	1	3	0	0	1000	0	0	0	1	0
.	32	0	100	1	0	3	0	0	1000	2	0.01	500	2	0.25
.	32	14	0	0	1	3	3	7	644	0	0	0	2	0
.	32	336	0	0	1	3	4	7	644	0	0	0	2	0
.	32	672	0	0	1	3	0	0	1000	0	0	0	2	0
.	33	0	250	1	0	3	0	0	1000	3	0.01	500	3	0.25
.	33	14	0	0	1	3	5	7	644	0	0	0	3	0
.	33	336	0	0	1	3	6	7	644	0	0	0	3	0
.	33	672	0	0	1	3	0	0	1000	0	0	0	3	0
.	34	0	350	1	0	3	0	0	1000	4	0.01	500	4	0.25
.	34	14	0	0	1	3	7	7	644	0	0	0	4	0
.	34	336	0	0	1	3	8	7	644	0	0	0	4	0
.	34	672	0	0	1	3	0	0	1000	0	0	0	4	0
.	41	0	0.01	1	0	4	0	0	1000	1	0.01	500	1	0.25
.	41	14	0	0	1	4	1	7	644	0	0	0	1	0
.	41	336	0	0	1	4	2	7	644	0	0	0	1	0
.	41	672	0	0	1	4	0	0	1000	0	0	0	1	0
.	42	0	100	1	0	4	0	0	1000	2	0.01	500	2	0.25
.	42	14	0	0	1	4	3	7	644	0	0	0	2	0
.	42	336	0	0	1	4	4	7	644	0	0	0	2	0
.	42	672	0	0	1	4	0	0	1000	0	0	0	2	0
.	43	0	250	1	0	4	0	0	1000	3	0.01	500	3	0.25
.	43	14	0	0	1	4	5	7	644	0	0	0	3	0
.	43	336	0	0	1	4	6	7	644	0	0	0	3	0
.	43	672	0	0	1	4	0	0	1000	0	0	0	3	0
.	44	0	350	1	0	4	0	0	1000	4	0.01	500	4	0.25
.	44	14	0	0	1	4	7	7	644	0	0	0	4	0
.	44	336	0	0	1	4	8	7	644	0	0	0	4	0
.	44	672	0	0	1	4	0	0	1000	0	0	0	4	0
