CID TIME    AMT  RATE EVID MDV DV       TSTRAT   TMIN   TMAX STRAT STRATF REPL_
1.0  0.0   100.0  0.0  1    1   0.0      0        0.0   14   1     0.5    50 
1.0  0.5     0.0  0.0  0    0   1.0      1        0.33  14   0     0.5    50
1.0  5.0     0.0  0.0  0    0   1.0      2        0.33  14   0     0.5    50
1.0 10.0     0.0  0.0  0    0   1.0      3        0.33  14   0     0.5    50
2.0  0.0   100.0  0.0  1    1   0.0      0        0.0   12  -1     0.13   13
2.0  0.33    0.0  0.0  0    0   1.0      0        0.33  12   0     0.13   13
2.0  1.0     0.0  0.0  0    0   1.0      0        0.33  12   0     0.13   13
2.0  1.5     0.0  0.0  0    0   1.0      0        0.33  12   0     0.13   13
3.0  0.0   100.0  0.0  1    1   0.0      0        0.0   12  -2     0.10   10
3.0  1.5     0.0  0.0  0    0   1.0      0        0.33  12   0     0.10   10
3.0  8.0     0.0  0.0  0    0   1.0      0        0.33  12   0     0.10   10
3.0 12.0     0.0  0.0  0    0   1.0      0        0.33  12   0     0.10   10
4.0  0.0   100.0  0.0  1    1   0.0      0        0.0   12  -3     0.09    9
4.0  0.33    0.0  0.0  0    0   1.0      0        0.33  12   0     0.09    9
4.0  8.0     0.0  0.0  0    0   1.0      0        0.33  12   0     0.09    9
4.0 12.0     0.0  0.0  0    0   1.0      0        0.33  12   0     0.09    9
5.0  0.0   100.0  0.0  1    1   0.0      0        0.0   12  -4     0.18   18
5.0  0.33    0.0  0.0  0    0   1.0      0        0.33  12   0     0.18   18
5.0  1.5     0.0  0.0  0    0   1.0      0        0.33  12   0     0.18   18
5.0  8.0     0.0  0.0  0    0   1.0      0        0.33  12   0     0.18   18
