# TABLE NO.     2: NUTS Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
ITERATION,THETA1,THETA2,THETA3,THETA4,"SIGMA(1,1)","OMEGA(1,1)","OMEGA(2,1)","OMEGA(2,2)","OMEGA(3,1)","OMEGA(3,2)","OMEGA(3,3)","OMEGA(4,1)","OMEGA(4,2)","OMEGA(4,3)","OMEGA(4,4)",MCMCOBJ
-300,2.00000E+00,2.00000E+00,2.00000E+00,2.00000E+00,6.00000E-01,1.50000E-01,1.51376E-02,1.50000E-01,1.51376E-02,1.55683E-02,1.50000E-01,1.51376E-02,1.55683E-02,1.59466E-02,1.50000E-01,-1481.0595036333802
-299,2.00000E+00,2.00000E+00,2.00000E+00,2.00000E+00,6.00000E-01,1.50000E-01,1.51376E-02,1.50000E-01,1.51376E-02,1.55683E-02,1.50000E-01,1.51376E-02,1.55683E-02,1.59466E-02,1.50000E-01,-1481.0595036333802
-298,1.77021E+00,1.92367E+00,1.67629E+00,2.41448E+00,1.89903E-01,5.94126E-02,-1.70499E-02,7.59678E-02,1.35122E-02,1.50691E-02,7.14325E-01,-2.41652E-02,-3.42371E-02,-1.26046E+00,3.05555E+00,-1690.4727243536261
-297,1.68026E+00,1.67408E+00,1.35288E+00,2.59168E+00,2.52116E-01,5.95871E-02,1.55883E-02,6.95303E-02,-5.63175E-02,1.28377E-02,1.56139E-01,1.98344E-01,9.76716E-02,-2.36819E-01,1.10078E+00,-1940.4909307481009
-296,1.79628E+00,1.74109E+00,1.27945E+00,2.75333E+00,1.97092E-01,6.00569E-02,1.75012E-02,2.75713E-02,-5.99059E-02,-2.12877E-02,1.53612E-01,8.24030E-02,2.54620E-02,-1.12590E-01,2.75134E-01,-2088.5224564870337
-295,1.74303E+00,1.71031E+00,1.40789E+00,2.76956E+00,1.51483E-01,7.03550E-02,1.79637E-02,3.28871E-02,-5.36239E-02,-7.62796E-03,1.33418E-01,8.76883E-02,3.13847E-02,-9.89629E-02,3.08640E-01,-2146.2345131098132
-294,1.72454E+00,1.70493E+00,1.14345E+00,2.74514E+00,1.15739E-01,5.79186E-02,3.20613E-02,4.01654E-02,-2.32432E-02,-1.63815E-02,1.21014E-01,6.51608E-02,5.26871E-02,-7.12178E-02,2.32177E-01,-2326.9672606525878
-293,1.72551E+00,1.67272E+00,1.21222E+00,2.58192E+00,1.01036E-01,5.24463E-02,2.78426E-02,5.10085E-02,-3.83390E-02,-2.50736E-02,1.68448E-01,8.41604E-02,6.75090E-02,-1.49088E-01,3.11339E-01,-2423.2225855343086
-292,1.70734E+00,1.62993E+00,9.13563E-01,2.60678E+00,6.52411E-02,7.29700E-02,5.17770E-02,7.33257E-02,-4.63250E-02,-2.70904E-02,1.76573E-01,1.08473E-01,9.01131E-02,-1.69380E-01,3.36317E-01,-2546.9571162821971
-291,1.60685E+00,1.55514E+00,7.94852E-01,2.35850E+00,6.48492E-02,4.31166E-02,2.68401E-02,5.39604E-02,-3.44509E-02,-2.83816E-02,1.75646E-01,6.19325E-02,4.23169E-02,-1.13210E-01,2.12657E-01,-2553.4933570459302
-290,1.59258E+00,1.47026E+00,8.37364E-01,2.37946E+00,6.11809E-02,4.26443E-02,3.65016E-02,7.32963E-02,-1.97591E-02,-4.90372E-03,1.52226E-01,4.00958E-02,4.33460E-02,-8.37833E-02,1.71898E-01,-2599.7647710554097
-289,1.59258E+00,1.47026E+00,8.37364E-01,2.37946E+00,6.11809E-02,4.26443E-02,3.65016E-02,7.32963E-02,-1.97591E-02,-4.90372E-03,1.52226E-01,4.00958E-02,4.33460E-02,-8.37833E-02,1.71898E-01,-2599.7647710554097
-288,1.62408E+00,1.62755E+00,7.95072E-01,2.42722E+00,6.59438E-02,4.69283E-02,2.91340E-02,5.68607E-02,-4.68306E-02,-1.99045E-02,1.72147E-01,6.42030E-02,4.51781E-02,-1.04870E-01,2.01544E-01,-2622.3003597631050
-287,1.61609E+00,1.55751E+00,7.26246E-01,2.40922E+00,5.56713E-02,5.41295E-02,4.90489E-02,8.31292E-02,-3.02295E-02,-3.54198E-02,1.62787E-01,5.92521E-02,6.21228E-02,-1.18473E-01,2.34892E-01,-2600.0847879279850
-286,1.61690E+00,1.61675E+00,7.60813E-01,2.36185E+00,6.60938E-02,5.32447E-02,2.87274E-02,5.92059E-02,-6.10893E-02,-2.78654E-02,1.63725E-01,8.58486E-02,5.22665E-02,-1.37718E-01,2.96706E-01,-2586.5508483165713
-285,1.67468E+00,1.62178E+00,7.70239E-01,2.42913E+00,6.81142E-02,5.61014E-02,4.22877E-02,7.72973E-02,-4.34451E-02,-4.12477E-02,1.26408E-01,5.83295E-02,2.93545E-02,-9.99158E-02,1.92706E-01,-2613.3183516808231
-284,1.61503E+00,1.59524E+00,7.53019E-01,2.40400E+00,7.13185E-02,4.95471E-02,3.91136E-02,7.92791E-02,-3.74418E-02,-3.47943E-02,1.09233E-01,6.12865E-02,3.54534E-02,-1.04038E-01,2.35413E-01,-2623.9201207496517
-283,1.64127E+00,1.59132E+00,7.60689E-01,2.39348E+00,6.35960E-02,5.17340E-02,3.84082E-02,9.20692E-02,-5.87555E-02,-4.59863E-02,1.39377E-01,7.55371E-02,3.20131E-02,-1.27656E-01,2.43934E-01,-2625.3784569845161
-282,1.60069E+00,1.56564E+00,7.17103E-01,2.31567E+00,6.87352E-02,3.92820E-02,3.12363E-02,8.81614E-02,-2.34073E-02,-1.73905E-02,1.23007E-01,4.05724E-02,7.10708E-03,-8.10342E-02,1.92928E-01,-2611.0292407863853
-281,1.63463E+00,1.64632E+00,7.15233E-01,2.33111E+00,6.89595E-02,3.10709E-02,2.50854E-02,5.96224E-02,-4.30719E-02,-2.69762E-02,1.73037E-01,4.83732E-02,1.93250E-02,-1.38553E-01,2.35755E-01,-2639.0713704519035
-280,1.65049E+00,1.60008E+00,7.23808E-01,2.39848E+00,6.07249E-02,4.68644E-02,3.53646E-02,8.26299E-02,-3.72831E-02,-4.49884E-02,1.21153E-01,8.04530E-02,4.40147E-02,-1.17608E-01,3.01205E-01,-2674.2288454276213
-279,1.63381E+00,1.56835E+00,6.78776E-01,2.43315E+00,5.50854E-02,4.52255E-02,3.43275E-02,9.46469E-02,-3.70409E-02,-5.57163E-02,1.55784E-01,7.10313E-02,4.60071E-02,-1.11390E-01,2.24099E-01,-2670.7623700033591
-278,1.63262E+00,1.55202E+00,6.49144E-01,2.37646E+00,5.60290E-02,5.80638E-02,3.19303E-02,6.11272E-02,-5.45278E-02,-2.06766E-02,1.71255E-01,8.11942E-02,3.44658E-02,-1.54824E-01,2.57681E-01,-2669.8942940315260
-277,1.62618E+00,1.61504E+00,6.27026E-01,2.38810E+00,6.75287E-02,3.98258E-02,2.92595E-02,6.19927E-02,-3.70839E-02,-2.23210E-02,1.47457E-01,5.15547E-02,4.59558E-02,-1.23139E-01,2.39606E-01,-2623.5649443153766
-276,1.64739E+00,1.61032E+00,6.55314E-01,2.50498E+00,5.27003E-02,6.24928E-02,4.98196E-02,7.28046E-02,-4.52874E-02,-3.81748E-02,1.18368E-01,1.25323E-01,8.81858E-02,-1.35349E-01,3.75284E-01,-2717.2575898525729
-275,1.61647E+00,1.60052E+00,6.67264E-01,2.26611E+00,5.75693E-02,4.55394E-02,3.65434E-02,6.53801E-02,-1.32717E-02,5.17801E-03,8.85520E-02,7.48661E-02,6.33564E-02,-7.75900E-02,3.20648E-01,-2680.8489444745619
-274,1.58047E+00,1.60961E+00,6.98526E-01,2.27278E+00,6.10274E-02,4.54301E-02,3.38020E-02,5.88266E-02,-1.30339E-02,6.58180E-03,8.59099E-02,7.48814E-02,5.80904E-02,-7.30461E-02,3.10007E-01,-2686.2723315918142
-273,1.60262E+00,1.57390E+00,7.51438E-01,2.24426E+00,5.53839E-02,5.87677E-02,3.90301E-02,6.73077E-02,-1.60076E-02,-2.83264E-03,9.07391E-02,9.95316E-02,7.36270E-02,-7.12610E-02,3.65424E-01,-2630.9811734710202
-272,1.61588E+00,1.57515E+00,6.92159E-01,2.40035E+00,5.70834E-02,6.08186E-02,2.71849E-02,5.33074E-02,-2.52232E-02,8.68851E-03,1.01190E-01,1.08367E-01,3.31441E-02,-7.54831E-02,3.62392E-01,-2624.6021959432101
-271,1.64233E+00,1.62004E+00,6.71825E-01,2.34694E+00,6.18026E-02,5.22583E-02,2.69824E-02,4.59192E-02,-6.10144E-03,4.45184E-03,7.19696E-02,7.01623E-02,4.93277E-02,-6.66492E-02,3.08934E-01,-2658.6657947319277
-270,1.60022E+00,1.56771E+00,7.66293E-01,2.32360E+00,6.11326E-02,4.31725E-02,2.47652E-02,5.69403E-02,-3.22518E-02,-5.10426E-03,1.63324E-01,7.04662E-02,3.47153E-02,-1.24600E-01,2.36334E-01,-2713.6602896130662
-269,1.63253E+00,1.57219E+00,7.10040E-01,2.43614E+00,6.15313E-02,5.67869E-02,6.00675E-02,1.32024E-01,-3.99067E-02,-2.39793E-02,1.12701E-01,7.50497E-02,5.25435E-02,-1.33335E-01,2.87480E-01,-2660.9053810549617
-268,1.59365E+00,1.54542E+00,7.70573E-01,2.29851E+00,5.39785E-02,5.58645E-02,5.92642E-02,1.04702E-01,-4.72506E-02,-2.83069E-02,1.37340E-01,7.86453E-02,6.54864E-02,-1.24350E-01,2.54061E-01,-2677.5213384354902
-267,1.64383E+00,1.58776E+00,7.31092E-01,2.40351E+00,5.97769E-02,6.15603E-02,6.58374E-02,1.40761E-01,-2.91516E-02,-1.26188E-02,9.58940E-02,8.57516E-02,7.35841E-02,-1.07630E-01,2.55433E-01,-2660.9699528245869
