# TABLE NO.     2: NUTS Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
ITERATION,THETA1,THETA2,THETA3,THETA4,"SIGMA(1,1)","OMEGA(1,1)","OMEGA(2,1)","OMEGA(2,2)","OMEGA(3,1)","OMEGA(3,2)","OMEGA(3,3)","OMEGA(4,1)","OMEGA(4,2)","OMEGA(4,3)","OMEGA(4,4)",MCMCOBJ
-300,2.00000E+00,2.00000E+00,2.00000E+00,2.00000E+00,6.00000E-01,1.50000E-01,1.51376E-02,1.50000E-01,1.51376E-02,1.55683E-02,1.50000E-01,1.51376E-02,1.55683E-02,1.59466E-02,1.50000E-01,-1481.0595036333802
-299,2.00000E+00,2.00000E+00,2.00000E+00,2.00000E+00,6.00000E-01,1.50000E-01,1.51376E-02,1.50000E-01,1.51376E-02,1.55683E-02,1.50000E-01,1.51376E-02,1.55683E-02,1.59466E-02,1.50000E-01,-1481.0595036333802
-298,1.77021E+00,1.92367E+00,1.67629E+00,2.41448E+00,1.89903E-01,5.94126E-02,-1.70499E-02,7.59678E-02,1.35122E-02,1.50691E-02,7.14325E-01,-2.41652E-02,-3.42371E-02,-1.26046E+00,3.05555E+00,-1690.4727243536261
...
999,1.60503E+00,1.57259E+00,6.37331E-01,2.30317E+00,5.56863E-02,6.38367E-02,4.74873E-02,6.49443E-02,-1.29483E-02,-3.02370E-03,5.57051E-02,1.10373E-01,7.64161E-02,-5.92531E-02,3.09326E-01,-2750.6036449963908
1000,1.61987E+00,1.63438E+00,6.67028E-01,2.27359E+00,5.96975E-02,6.80918E-02,4.98584E-02,7.97527E-02,-2.08863E-02,2.55142E-03,8.15478E-02,1.31526E-01,9.59568E-02,-9.01345E-02,4.17237E-01,-2711.0823149117732
# -1000000000,1.62095E+00,1.57352E+00,7.41249E-01,2.37879E+00,5.71851E-02,5.34615E-02,4.13122E-02,7.71840E-02,-2.95543E-02,-1.54367E-02,1.35301E-01,8.48112E-02,6.20176E-02,-1.01418E-01,2.84249E-01,-2669.6279018999371
# -1000000001,2.65270E-02,3.79117E-02,5.69494E-02,6.14311E-02,5.68017E-03,9.69483E-03,1.16750E-02,1.95409E-02,1.39471E-02,1.97815E-02,3.88705E-02,1.99779E-02,2.47545E-02,3.12851E-02,5.54416E-02,46.913591858677314
# -1000000004,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.38845E-01,2.30274E-01,6.38565E-01,2.75637E-01,-3.54991E-01,-1.57795E-01,3.64134E-01,6.84519E-01,4.16392E-01,-5.29926E-01,5.30689E-01,0.0000000000000000
# -1000000005,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.17631E-02,2.08789E-02,8.76315E-02,3.47749E-02,1.53212E-01,1.91446E-01,5.20560E-02,6.89126E-02,1.29489E-01,1.45714E-01,5.11943E-02,0.0000000000000000
# -1000000006,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.0000000000000000
# -1000000007,2.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.0000000000000000
