TABLE NO.     5: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       THETA9       THETA10      THETA11      SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
       -10000  3.29850E+00  3.25061E+00 -6.11890E-01 -2.07895E-01  7.29537E-01  1.13128E+00  3.36746E-01  1.93377E-01  6.89343E-01  2.29753E+00  1.03355E-01  1.00000E+00  9.88539E-03 -8.30863E-05  7.39395E-03 -4.55535E-05 -9.59085E-04  4.54831E-03 -1.61574E-03 -2.45440E-06 -2.23083E-03  6.48405E-03   -19659.391468564638
        -9999  3.27756E+00  3.22703E+00 -6.06744E-01 -2.02746E-01  7.32981E-01  1.13938E+00  3.36400E-01  1.87247E-01  6.86187E-01  2.29709E+00  1.00907E-01  1.00000E+00  9.59263E-03 -1.02369E-04  7.25921E-03  1.03652E-04 -2.89531E-04  4.29496E-03 -1.29017E-03 -5.05051E-04 -1.89942E-03  5.87203E-03   -19677.835061553076
        -9998  3.26657E+00  3.29300E+00 -6.03657E-01 -2.18877E-01  7.32393E-01  1.13736E+00  3.38367E-01  1.93634E-01  6.85387E-01  2.30231E+00  1.00907E-01  1.00000E+00  9.98320E-03 -9.85234E-04  7.44196E-03  4.06306E-04 -6.33188E-04  4.31251E-03 -1.76562E-03 -4.96922E-05 -2.37560E-03  6.43599E-03   -19640.650558943245
        -9997  3.25241E+00  3.28802E+00 -5.97479E-01 -2.16971E-01  7.28233E-01  1.12620E+00  3.39431E-01  1.93065E-01  6.85932E-01  2.29468E+00  1.00907E-01  1.00000E+00  8.90867E-03 -7.71566E-04  8.02824E-03  3.24216E-04 -9.29649E-04  4.73040E-03 -6.92469E-04  3.18641E-04 -2.65496E-03  6.98200E-03   -19583.290201291635
        -9996  3.33253E+00  3.25035E+00 -6.21175E-01 -2.07442E-01  7.40750E-01  1.14851E+00  3.33460E-01  1.90312E-01  6.85445E-01  2.29143E+00  1.03016E-01  1.00000E+00  8.65394E-03 -4.68646E-04  7.87665E-03  6.80433E-04 -1.15264E-03  4.29857E-03 -7.66454E-04  2.31457E-04 -2.24221E-03  6.97677E-03   -19582.932844916340
        -9995  3.31734E+00  3.24792E+00 -6.19160E-01 -2.08496E-01  6.68912E-01  1.11428E+00  3.54494E-01  2.00047E-01  6.89759E-01  2.29653E+00  1.02035E-01  1.00000E+00  8.88614E-03 -1.26121E-03  6.57696E-03  1.44252E-04 -1.30240E-03  4.74031E-03 -5.55885E-04 -9.97998E-05 -2.56575E-03  6.46565E-03   -19653.737219959829
        -9994  3.26572E+00  3.23334E+00 -6.01330E-01 -2.03306E-01  6.70860E-01  1.11872E+00  3.51416E-01  1.95485E-01  6.89836E-01  2.29718E+00  1.02051E-01  1.00000E+00  9.55909E-03 -1.46702E-03  7.13330E-03  7.60128E-04 -1.46990E-03  4.43551E-03 -1.27419E-03  5.17333E-04 -2.07161E-03  6.50114E-03   -19605.780965408507
        -9993  3.25809E+00  3.19423E+00 -6.01297E-01 -1.92253E-01  6.69772E-01  1.10175E+00  3.54309E-01  2.01473E-01  6.90506E-01  2.29151E+00  1.05231E-01  1.00000E+00  9.75605E-03 -6.46106E-04  7.51490E-03  3.94863E-04 -7.62338E-04  4.08142E-03 -1.68443E-03  1.98998E-04 -2.25388E-03  7.37575E-03   -19580.521056545844
        -9992  3.24362E+00  3.24355E+00 -5.98785E-01 -2.11183E-01  6.48507E-01  1.12944E+00  3.59558E-01  1.92446E-01  6.93377E-01  2.29252E+00  1.00700E-01  1.00000E+00  1.00360E-02 -8.29120E-05  6.95099E-03  4.10532E-04 -1.62863E-03  5.05831E-03 -1.71529E-03 -1.69705E-04 -2.24648E-03  6.72750E-03   -19635.869642576425
        -9991  3.27153E+00  3.24987E+00 -6.08725E-01 -2.07934E-01  6.47972E-01  1.10507E+00  3.62395E-01  1.99744E-01  6.95767E-01  2.28995E+00  1.00700E-01  1.00000E+00  9.75591E-03 -1.27560E-04  7.27401E-03 -3.07515E-04 -2.16672E-03  5.66295E-03 -1.62486E-03  2.16463E-04 -2.43517E-03  6.05397E-03   -19655.125064637374
        -9990  3.27256E+00  3.23546E+00 -6.02563E-01 -2.02291E-01  6.59357E-01  1.11853E+00  3.58276E-01  1.96815E-01  6.87710E-01  2.29621E+00  1.00624E-01  1.00000E+00  1.00278E-02 -2.50505E-05  8.21992E-03 -2.65282E-04 -2.45198E-03  5.24739E-03 -1.89977E-03  8.05253E-05 -2.50165E-03  6.14186E-03   -19782.821263120131
        -9989  3.24021E+00  3.23855E+00 -5.93168E-01 -2.05926E-01  7.36511E-01  1.14104E+00  3.35515E-01  1.93303E-01  6.90407E-01  2.28562E+00  1.02725E-01  1.00000E+00  1.06413E-02  5.76539E-04  7.38503E-03 -9.66973E-04 -2.63505E-03  5.69805E-03 -1.64247E-03  1.89635E-04 -2.75107E-03  5.53106E-03   -19651.277427644793
