TABLE NO.  1
 TIME                 kin                  KINCALC              IPRED
  0.0000000000000E+00  1.0000000000000E+00  1.0000000000000E+00  5.0000000000000E+00
  1.0000000000000E-01  9.9845240458590E-01  9.9845240458590E-01  5.0199227727144E+00
  5.0000000000000E-01  9.9207637592621E-01  9.9207637592623E-01  5.0980385230604E+00
  1.0000000000000E+00  9.8367625500629E-01  9.8367625500639E-01  5.1919969377261E+00
  2.0000000000000E+00  9.6538307976060E-01  9.6538307976122E-01  5.3666948854191E+00
  3.0000000000000E+00  9.4507783115980E-01  9.4507783116085E-01  5.5220899754920E+00
  4.0000000000000E+00  9.2294351472958E-01  9.2294351473084E-01  5.6562365184818E+00
  5.0000000000000E+00  8.9955592987919E-01  8.9955592987966E-01  5.7675528426514E+00
  6.0000000000000E+00  8.7605011503919E-01  8.7605011503778E-01  5.8553021765106E+00
  7.0000000000000E+00  8.5411958735363E-01  8.5411958735197E-01  5.8264548138083E+00
  8.0000000000000E+00  8.3560628918953E-01  8.3560628918794E-01  5.6869850760119E+00
  9.0000000000000E+00  8.2170865576639E-01  8.2170865576495E-01  5.5495072494940E+00
  1.0000000000000E+01  8.1242504824800E-01  8.1242504824662E-01  5.4207425844993E+00
  1.1000000000000E+01  8.0679841457296E-01  8.0679841457151E-01  5.3066985077371E+00
  1.2000000000000E+01  8.0361579172241E-01  8.0361579172090E-01  5.2116685311081E+00
  1.3000000000000E+01  8.0189184045133E-01  8.0189184044980E-01  5.1377015883227E+00
  1.4000000000000E+01  8.0098099685330E-01  8.0098099685176E-01  5.0843656014818E+00
  1.5000000000000E+01  8.0050626612287E-01  8.0050626612132E-01  5.0489140406805E+00
  1.6000000000000E+01  8.0026061950118E-01  8.0026061949963E-01  5.0271203449535E+00
  1.7000000000000E+01  8.0013399035904E-01  8.0013399035749E-01  5.0145677137902E+00
  1.8000000000000E+01  8.0006884153640E-01  8.0006884153485E-01  5.0076698276677E+00
  1.9000000000000E+01  8.0003535725040E-01  8.0003535724885E-01  5.0039913966370E+00
  2.0000000000000E+01  8.0001815640121E-01  8.0001815639966E-01  5.0020638742982E+00
  2.1000000000000E+01  8.0000932269988E-01  8.0000932269833E-01  5.0010635543923E+00
  2.2000000000000E+01  8.0000478666919E-01  8.0000478666764E-01  5.0005470919455E+00
  2.3000000000000E+01  8.0000245762005E-01  8.0000245761850E-01  5.0002811632555E+00
  2.4000000000000E+01  8.0000126180225E-01  8.0000126180070E-01  5.0001444273559E+00
  2.5000000000000E+01  8.0000064783606E-01  8.0000064783451E-01  5.0000741709745E+00
  2.6000000000000E+01  8.0000033261171E-01  8.0000033261016E-01  5.0000380859370E+00
  2.7000000000000E+01  8.0000017076894E-01  8.0000017076740E-01  5.0000195555045E+00
  2.8000000000000E+01  8.0000008767590E-01  8.0000008767435E-01  5.0000100406859E+00
  2.9000000000000E+01  8.0000004501439E-01  8.0000004501284E-01  5.0000051553543E+00
  3.0000000000000E+01  8.0000002311119E-01  8.0000002310965E-01  5.0000026470681E+00
