TABLE NO.  1
 TIME                 kin                  IPRED
  0.0000000000000E+00  2.3750000000000E+02  0.0000000000000E+00
  1.0000000000000E-02  2.3746343991078E+02  4.7481723560611E-01
  2.0000000000000E-02  2.3742683653708E+02  9.4926865393400E-01
  3.0000000000000E-02  2.3739018983526E+02  1.4233538219206E+00
  4.0000000000000E-02  2.3735349976179E+02  1.8970723060670E+00
  5.0000000000000E-02  2.3731676627322E+02  2.3704236724394E+00
  6.0000000000000E-02  2.3727998932617E+02  2.8434074866698E+00
  7.0000000000000E-02  2.3724316887738E+02  3.3160233139570E+00
  8.0000000000000E-02  2.3720630488366E+02  3.7882707190676E+00
  9.0000000000000E-02  2.3716939730192E+02  4.2601492663368E+00
  1.0000000000000E-01  2.3713244608915E+02  4.7316585196692E+00
  1.0100000000000E-01  2.3712874856652E+02  4.7787891170334E+00
  1.0200000000000E-01  2.3712505060710E+02  4.8259160166567E+00
  1.0300000000000E-01  2.3712135221085E+02  4.8730392181020E+00
  1.0400000000000E-01  2.3711765337774E+02  4.9201587209327E+00
  1.0500000000000E-01  2.3711395410772E+02  4.9672745247119E+00
  1.0600000000000E-01  2.3711025440075E+02  5.0143866290025E+00
  1.0700000000000E-01  2.3710655425677E+02  5.0614950333677E+00
  1.0800000000000E-01  2.3710285367576E+02  5.1085997373704E+00
  1.0900000000000E-01  2.3709915265767E+02  5.1557007405735E+00
  1.1000000000000E-01  2.3709545120245E+02  5.2027980425400E+00
  1.1100000000000E-01  2.3709174931007E+02  5.2498916428327E+00
  1.1200000000000E-01  2.3708804698047E+02  5.2969815410144E+00
  1.1300000000000E-01  2.3708434421362E+02  5.3440677366479E+00
  1.1400000000000E-01  2.3708064100948E+02  5.3911502292959E+00
  1.1500000000000E-01  2.3707693736799E+02  5.4382290185211E+00
  1.1600000000000E-01  2.3707323328913E+02  5.4853041038861E+00
  1.1700000000000E-01  2.3706952877284E+02  5.5323754849535E+00
  1.1800000000000E-01  2.3706582381909E+02  5.5794431612859E+00
  1.1900000000000E-01  2.3706211842782E+02  5.6265071324458E+00
  1.2000000000000E-01  2.3705841259901E+02  5.6735673979957E+00
  1.3000000000000E-01  2.3702133023611E+02  6.1439661486546E+00
