TABLE NO.  1
 TIME                 kin                  IPRED
  0.0000000000000E+00  0.0000000000000E+00  5.0000000000000E+00
  1.0000000000000E-01  9.9845240458590E-01  5.0199227727144E+00
  5.0000000000000E-01  9.9207637592621E-01  5.0980385227858E+00
  1.0000000000000E+00  9.8367625500629E-01  5.1919968820863E+00
  2.0000000000000E+00  9.6538307978469E-01  5.3666825353172E+00
  3.0000000000000E+00  9.4507783118789E-01  5.5217621699546E+00
  4.0000000000000E+00  9.2294351475792E-01  5.6529933053691E+00
  5.0000000000000E+00  8.9955592990906E-01  5.7493788130455E+00
  6.0000000000000E+00  8.7605011507081E-01  5.7853804792482E+00
  7.0000000000000E+00  8.5411958738279E-01  5.7357236252451E+00
  8.0000000000000E+00  8.3560628921356E-01  5.6211511925002E+00
  9.0000000000000E+00  8.2170865576324E-01  5.4935543626242E+00
  1.0000000000000E+01  8.1242505081646E-01  5.3751481433681E+00
  1.1000000000000E+01  8.0679841964552E-01  5.2716519364448E+00
  1.2000000000000E+01  8.0361579462738E-01  5.1866641827639E+00
  1.3000000000000E+01  8.0189184207664E-01  5.1213970813036E+00
  1.4000000000000E+01  8.0098099886702E-01  5.0747404337609E+00
  1.5000000000000E+01  8.0050626780588E-01  5.0437630708183E+00
  1.6000000000000E+01  8.0026062070857E-01  5.0246025527670E+00
  1.7000000000000E+01  8.0013399115681E-01  5.0134568995946E+00
  1.8000000000000E+01  8.0006884203771E-01  5.0072731960692E+00
  1.9000000000000E+01  8.0003535755459E-01  5.0039520006813E+00
  2.0000000000000E+01  8.0001815658165E-01  5.0022037741228E+00
  2.1000000000000E+01  8.0000932280457E-01  5.0012941315326E+00
  2.2000000000000E+01  8.0000478672913E-01  5.0008238154665E+00
  2.3000000000000E+01  8.0000245765400E-01  5.0005814641769E+00
  2.4000000000000E+01  8.0000126181968E-01  5.0004568019055E+00
  2.5000000000000E+01  8.0000064784501E-01  5.0003927358877E+00
  2.6000000000000E+01  8.0000033261630E-01  5.0003598268206E+00
  2.7000000000000E+01  8.0000017077143E-01  5.0003429263825E+00
  2.8000000000000E+01  8.0000008767717E-01  5.0003342482526E+00
  2.9000000000000E+01  8.0000004501504E-01  5.0003297924445E+00
  3.0000000000000E+01  8.0000002311153E-01  5.0003275046737E+00
