TABLE NO.  1
 TIME                 kin                  IPRED
  0.0000000000000E+00  0.0000000000000E+00  5.0000000000000E+00
  1.0000000000000E-01  9.9845241913070E-01  5.0199223713264E+00
  5.0000000000000E-01  9.9207652718129E-01  5.0980359447513E+00
  1.0000000000000E+00  9.8367652615441E-01  5.1919907895482E+00
  2.0000000000000E+00  9.6538345774845E-01  5.3666745120758E+00
  3.0000000000000E+00  9.4507840720970E-01  5.5217541923198E+00
  4.0000000000000E+00  9.2294386842975E-01  5.6530344924562E+00
  5.0000000000000E+00  8.9955624446595E-01  5.7493253997197E+00
  6.0000000000000E+00  8.7605022878719E-01  5.7855349313768E+00
  7.0000000000000E+00  8.5411990942277E-01  5.7355535902275E+00
  8.0000000000000E+00  8.3560603493912E-01  5.6208316980609E+00
  9.0000000000000E+00  8.2170869995593E-01  5.4937178247185E+00
  1.0000000000000E+01  8.1242522012878E-01  5.3752678849343E+00
  1.1000000000000E+01  8.0679857733883E-01  5.2717102105509E+00
  1.2000000000000E+01  8.0361594269580E-01  5.1866476378097E+00
  1.3000000000000E+01  8.0189195295020E-01  5.1212989028693E+00
  1.4000000000000E+01  8.0098108739988E-01  5.0746021885574E+00
  1.5000000000000E+01  8.0050636452440E-01  5.0435837754359E+00
  1.6000000000000E+01  8.0026071400000E-01  5.0243600112805E+00
  1.7000000000000E+01  8.0013406711820E-01  5.0131895634048E+00
  1.8000000000000E+01  8.0006889848701E-01  5.0069826701504E+00
  1.9000000000000E+01  8.0003539645338E-01  5.0036419658766E+00
  2.0000000000000E+01  8.0001816667511E-01  5.0018889525075E+00
  2.1000000000000E+01  8.0000930911956E-01  5.0009733520990E+00
  2.2000000000000E+01  8.0000477064924E-01  5.0005017334890E+00
  2.3000000000000E+01  8.0000243780079E-01  5.0002575175107E+00
  2.4000000000000E+01  8.0000124362664E-01  5.0001324523150E+00
  2.5000000000000E+01  8.0000063330436E-01  5.0000680049400E+00
  2.6000000000000E+01  8.0000032199717E-01  5.0000348459059E+00
  2.7000000000000E+01  8.0000016371622E-01  5.0000178344861E+00
  2.8000000000000E+01  8.0000008324000E-01  5.0000091136384E+00
  2.9000000000000E+01  8.0000004232272E-01  5.0000046360206E+00
  3.0000000000000E+01  8.0000002151872E-01  5.0000023503241E+00
