TABLE NO.  1
 TIME                 kin                  IPRED
  0.0000000000000E+00  1.0000000000000E+00  5.0000000000000E+00
  1.0000000000000E-01  9.9845240458590E-01  5.0199227727144E+00
  5.0000000000000E-01  9.9207637592621E-01  5.0980385227856E+00
  1.0000000000000E+00  9.8367625500629E-01  5.1919968820852E+00
  2.0000000000000E+00  9.6538307978345E-01  5.3666825346421E+00
  3.0000000000000E+00  9.4507783118614E-01  5.5217621692402E+00
  4.0000000000000E+00  9.2294351475603E-01  5.6529933046340E+00
  5.0000000000000E+00  8.9955592990710E-01  5.7493787126755E+00
  6.0000000000000E+00  8.7605011506890E-01  5.7853804423538E+00
  7.0000000000000E+00  8.5411958738109E-01  5.7357236063762E+00
  8.0000000000000E+00  8.3560628921220E-01  5.6211511666340E+00
  9.0000000000000E+00  8.2170865576228E-01  5.4935543374535E+00
  1.0000000000000E+01  8.1242505081585E-01  5.3751481165528E+00
  1.1000000000000E+01  8.0679841964517E-01  5.2716519080858E+00
  1.2000000000000E+01  8.0361579462718E-01  5.1866641545278E+00
  1.3000000000000E+01  8.0189184207652E-01  5.1213970534303E+00
  1.4000000000000E+01  8.0098099886688E-01  5.0747404070954E+00
  1.5000000000000E+01  8.0050626780579E-01  5.0437630474495E+00
  1.6000000000000E+01  8.0026062070853E-01  5.0246025333410E+00
  1.7000000000000E+01  8.0013399115678E-01  5.0134568798185E+00
  1.8000000000000E+01  8.0006884203770E-01  5.0072731729967E+00
  1.9000000000000E+01  8.0003535755458E-01  5.0039519763699E+00
  2.0000000000000E+01  8.0001815658165E-01  5.0022037498479E+00
  2.1000000000000E+01  8.0000932280457E-01  5.0012941072533E+00
  2.2000000000000E+01  8.0000478672913E-01  5.0008237911450E+00
  2.3000000000000E+01  8.0000245765400E-01  5.0005814398432E+00
  2.4000000000000E+01  8.0000126181968E-01  5.0004567775684E+00
  2.5000000000000E+01  8.0000064784501E-01  5.0003927115498E+00
  2.6000000000000E+01  8.0000033261630E-01  5.0003598024825E+00
  2.7000000000000E+01  8.0000017077143E-01  5.0003429020443E+00
  2.8000000000000E+01  8.0000008767717E-01  5.0003342239144E+00
  2.9000000000000E+01  8.0000004501504E-01  5.0003297681063E+00
  3.0000000000000E+01  8.0000002311153E-01  5.0003274803355E+00
