TABLE NO.  1
 TIME                 KIN                  IPRED
  0.0000000000000E+00  0.0000000000000E+00  5.0000000000000E+00
  1.0000000000000E-01  9.9845240458590E-01  5.0199227727144E+00
  5.0000000000000E-01  9.9207637592620E-01  5.0980385230606E+00
  1.0000000000000E+00  9.8367625500623E-01  5.1919969377278E+00
  2.0000000000000E+00  9.6538307976024E-01  5.3666948854298E+00
  3.0000000000000E+00  9.4507783115925E-01  5.5220899755107E+00
  4.0000000000000E+00  9.2294351472925E-01  5.6562365185101E+00
  5.0000000000000E+00  8.9955592988090E-01  5.7675528426839E+00
  6.0000000000000E+00  8.7605011504631E-01  5.8553021765325E+00
  7.0000000000000E+00  8.5411958736173E-01  5.8264548138652E+00
  8.0000000000000E+00  8.3560628919713E-01  5.6869850761337E+00
  9.0000000000000E+00  8.2170865577208E-01  5.5495072495613E+00
  1.0000000000000E+01  8.1242504824387E-01  5.4207425845264E+00
  1.1000000000000E+01  8.0679841456858E-01  5.3066985077723E+00
  1.2000000000000E+01  8.0361579171884E-01  5.2116685310824E+00
  1.3000000000000E+01  8.0189184044859E-01  5.1377015882219E+00
  1.4000000000000E+01  8.0098099685105E-01  5.0843656013580E+00
  1.5000000000000E+01  8.0050626612096E-01  5.0489140405184E+00
  1.6000000000000E+01  8.0026061949935E-01  5.0271203447598E+00
  1.7000000000000E+01  8.0013399035691E-01  5.0145677137035E+00
  1.8000000000000E+01  8.0006884153459E-01  5.0076698276188E+00
  1.9000000000000E+01  8.0003535724872E-01  5.0039913965396E+00
  2.0000000000000E+01  8.0001815640019E-01  5.0020638741884E+00
  2.1000000000000E+01  8.0000932269887E-01  5.0010635542444E+00
  2.2000000000000E+01  8.0000478666844E-01  5.0005470917489E+00
  2.3000000000000E+01  8.0000245761954E-01  5.0002811630486E+00
  2.4000000000000E+01  8.0000126180031E-01  5.0001444270787E+00
  2.5000000000000E+01  8.0000064783421E-01  5.0000741706560E+00
  2.6000000000000E+01  8.0000033261032E-01  5.0000380855934E+00
  2.7000000000000E+01  8.0000017076813E-01  5.0000195551552E+00
  2.8000000000000E+01  8.0000008767538E-01  5.0000100403223E+00
  2.9000000000000E+01  8.0000004501407E-01  5.0000051549835E+00
  3.0000000000000E+01  8.0000002311101E-01  5.0000026466982E+00
