TABLE NO.  1
 TIME                 kin                  IPRED
  0.0000000000000E+00  0.0000000000000E+00  5.0000000000000E+00
  1.0000000000000E-01  9.9845240458590E-01  5.0199227727144E+00
  5.0000000000000E-01  9.9207637592621E-01  5.0980385230605E+00
  1.0000000000000E+00  9.8367625500629E-01  5.1919969377273E+00
  2.0000000000000E+00  9.6538307976062E-01  5.3666948854271E+00
  3.0000000000000E+00  9.4507783115991E-01  5.5220899755068E+00
  4.0000000000000E+00  9.2294351472978E-01  5.6562365185072E+00
  5.0000000000000E+00  8.9955592987904E-01  5.7675528426885E+00
  6.0000000000000E+00  8.7605011503842E-01  5.8553021765515E+00
  7.0000000000000E+00  8.5411958735290E-01  5.8264548138476E+00
  8.0000000000000E+00  8.3560628918890E-01  5.6869850761504E+00
  9.0000000000000E+00  8.2170865576591E-01  5.5495072496093E+00
  1.0000000000000E+01  8.1242504824771E-01  5.4207425846323E+00
  1.1000000000000E+01  8.0679841457279E-01  5.3066985079525E+00
  1.2000000000000E+01  8.0361579172232E-01  5.2116685313577E+00
  1.3000000000000E+01  8.0189184045128E-01  5.1377015882498E+00
  1.4000000000000E+01  8.0098099685327E-01  5.0843656014042E+00
  1.5000000000000E+01  8.0050626612285E-01  5.0489140405920E+00
  1.6000000000000E+01  8.0026061950117E-01  5.0271203448046E+00
  1.7000000000000E+01  8.0013399035904E-01  5.0145677137130E+00
  1.8000000000000E+01  8.0006884153640E-01  5.0076698275652E+00
  1.9000000000000E+01  8.0003535725040E-01  5.0039913965486E+00
  2.0000000000000E+01  8.0001815640121E-01  5.0020638742102E+00
  2.1000000000000E+01  8.0000932269988E-01  5.0010635543073E+00
  2.2000000000000E+01  8.0000478666919E-01  5.0005470918617E+00
  2.3000000000000E+01  8.0000245762005E-01  5.0002811631717E+00
  2.4000000000000E+01  8.0000126180225E-01  5.0001444272723E+00
  2.5000000000000E+01  8.0000064783606E-01  5.0000741708910E+00
  2.6000000000000E+01  8.0000033261171E-01  5.0000380858536E+00
  2.7000000000000E+01  8.0000017076894E-01  5.0000195554210E+00
  2.8000000000000E+01  8.0000008767590E-01  5.0000100406024E+00
  2.9000000000000E+01  8.0000004501439E-01  5.0000051552709E+00
  3.0000000000000E+01  8.0000002311119E-01  5.0000026469846E+00
