TABLE NO.  1
 TIME                 IPRED                A2                   A3
  0.0000000000000E+00  8.4553487126732E+01  3.1400000000000E+01  2.0648640000000E+02
  1.0000000000000E-01  8.3432468980921E+01  3.1196876061986E+01  2.0668945961513E+02
  2.0000000000000E-01  8.2326313399931E+01  3.0996663628228E+01  2.0688933219778E+02
  5.0000000000000E-01  7.9095064580810E+01  3.0413101416058E+01  2.0747062103562E+02
  1.0000000000000E+00  7.3989015162286E+01  2.9495243172735E+01  2.0838059293297E+02
  2.0000000000000E+00  6.4744513215617E+01  2.7849537053482E+01  2.0999670806236E+02
  5.0000000000000E+00  4.3382056930826E+01  2.4173266894386E+01  2.1351227015910E+02
  1.0000000000000E+01  2.2258134328454E+01  2.1012814959592E+01  2.1620664186031E+02
  2.0000000000000E+01  5.8593034846239E+00  2.0881899997106E+01  2.1528102748205E+02
  3.0000000000000E+01  1.5424220554959E+00  2.4504036379641E+01  2.1105300413538E+02
  4.0000000000000E+01  4.0603219179556E-01  2.8064158088578E+01  2.0718218083940E+02
  5.0000000000000E+01  1.0688523249122E-01  3.0036979789371E+01  2.0529564129739E+02
  6.0000000000000E+01  2.8136815348293E-02  3.0814949136389E+01  2.0461423134114E+02
  7.0000000000000E+01  7.4068266336726E-03  3.1057634300600E+01  2.0470268390629E+02
  8.0000000000000E+01  1.9497971192874E-03  3.1286587937702E+01  2.0447428572427E+02
  9.0000000000000E+01  5.1327093531556E-04  3.1181706994261E+01  2.0492054777565E+02
  1.0000000000000E+02  1.3511510972835E-04  3.1285036070773E+01  2.0496373521682E+02
  2.0000000000000E+02  2.1591453229766E-10  3.1349873773448E+01  2.0592611169518E+02
  5.0000000000000E+02  4.3753438715373E-27  3.1397343345736E+01  2.0646786229746E+02
  1.0000000000000E+03  1.0896878444205E-34  3.1399979199769E+01  2.0650096370877E+02
  1.0000000000000E+04  1.4919376279787E-71  3.1399999632147E+01  2.0650165152535E+02
