TABLE NO.  1
 TIME                 KIN                  IPRED
  0.0000000000000E+00  0.0000000000000E+00  5.0000000000000E+00
  1.0000000000000E-01  9.9845240458590E-01  5.0199227727140E+00
  5.0000000000000E-01  9.9207637592622E-01  5.0980385205722E+00
  1.0000000000000E+00  9.8367625500630E-01  5.1919967114457E+00
  2.0000000000000E+00  9.6538307976062E-01  5.3666652787791E+00
  3.0000000000000E+00  9.4507783116028E-01  5.5215103286517E+00
  4.0000000000000E+00  9.2294351473223E-01  5.6513518164880E+00
  5.0000000000000E+00  8.9955592988702E-01  5.7430746175134E+00
  6.0000000000000E+00  8.7605011505643E-01  5.7735638971342E+00
  7.0000000000000E+00  8.5411958737578E-01  5.7282420501311E+00
  8.0000000000000E+00  8.3560628921369E-01  5.6260053860144E+00
  9.0000000000000E+00  8.2170865578942E-01  5.5035636682170E+00
  1.0000000000000E+01  8.1242504826322E-01  5.3852486688817E+00
  1.1000000000000E+01  8.0679841458253E-01  5.2810680382443E+00
  1.2000000000000E+01  8.0361579172832E-01  5.1950772049027E+00
  1.3000000000000E+01  8.0189184045077E-01  5.1284958490190E+00
  1.4000000000000E+01  8.0098099685375E-01  5.0802922162783E+00
  1.5000000000000E+01  8.0050626612748E-01  5.0477202825423E+00
  1.6000000000000E+01  8.0026061951000E-01  5.0271390864577E+00
  1.7000000000000E+01  8.0013399036660E-01  5.0148970301510E+00
  1.8000000000000E+01  8.0006884154228E-01  5.0079682215339E+00
  1.9000000000000E+01  8.0003535725316E-01  5.0041892656070E+00
  2.0000000000000E+01  8.0001815640293E-01  5.0021793212460E+00
  2.1000000000000E+01  8.0000932270122E-01  5.0011268388872E+00
  2.2000000000000E+01  8.0000478666992E-01  5.0005806971625E+00
  2.3000000000000E+01  8.0000245762047E-01  5.0002987186110E+00
  2.4000000000000E+01  8.0000126180085E-01  5.0001535211773E+00
  2.5000000000000E+01  8.0000064783466E-01  5.0000788611858E+00
  2.6000000000000E+01  8.0000033261123E-01  5.0000404995369E+00
  2.7000000000000E+01  8.0000017076913E-01  5.0000207960625E+00
  2.8000000000000E+01  8.0000008767632E-01  5.0000106778591E+00
  2.9000000000000E+01  8.0000004501481E-01  5.0000054824261E+00
  3.0000000000000E+01  8.0000002311156E-01  5.0000028148457E+00
